feature_id,area,feature_name,user_story,expected_behaviour,how_to_test,spec_ref,code_ref,status,error_notes,fix_ref,retest_status
cli-default-picker,cli,Default interactive picker launch,"As a user, I want to run `resume` with no flags so that I get an interactive fuzzy picker of my coding-agent sessions in the current Scope.","When neither `--list` nor `--json` is passed, `app::run` calls `run_interactive`, which spawns one discovery thread per configured agent, streams candidates into the Skim picker via a bounded channel, and returns the picker's exit code (src/app.rs, run_interactive at src/app.rs).",cd into a directory with known pi/claude/codex/omp session fixtures and run `resume` with no arguments in a real terminal; observe the Skim picker opens with streamed rows.,§6 Exit status,src/app.rs:270 (run_interactive),Pass,,,Pass
cli-directory-arg,cli,Optional positional directory argument,"As a user, I want to pass a directory path as the first positional argument so that Scope is derived from that directory instead of my current working directory.","`Cli.directory: Option<PathBuf>` (src/cli.rs) is used by `build_scope` as `cli.directory.as_deref().unwrap_or(Path::new("".""))` then canonicalized via `scope::canonical_base` (src/app.rs). A nonexistent directory causes `canonical_base` to fail and `run` prints `resume: <error>` and returns EXIT_USAGE (2) (src/app.rs).","Run `resume /path/to/other/worktree --list` and confirm sessions are scoped to that worktree, not cwd; run `resume /nonexistent/path` and confirm exit code 2 with an error message.",§7 Query options,src/app.rs:206 (build_scope); src/app.rs:33 (EXIT_USAGE),Pass,,,Pass
cli-up-flag,cli,-U/--up <N|all> explicit upward Scope,"As a user, I want `--up N` so that Scope includes my current directory and up to N ancestor directories, overriding the Git default.","`Cli.up: Option<Distance>` parses `N` or `all` via `Distance::FromStr` (src/cli.rs (FromStr body; error string now sourced from errors::E1003.parser_message() at cli.rs)). When set, `build_scope` builds `Direction::Up(distance)` and Scope mode becomes `ScopeMode::Up`, whose `contains` checks `self.base.ancestors().position(...)` is within distance (src/scope.rs (ScopeMode::Up match arm)).","In a nested directory tree `/a/b/c`, run `resume --up 1` from `/a/b/c` and confirm sessions from `/a/b/c` and `/a/b` are included but not `/a` or `/a/b/c/d`.",§4 Explicit direction,src/cli.rs:6 (Distance); src/scope.rs:89 (contains); src/scope.rs:43 (ScopeMode),Pass,,,Pass
cli-up-all,cli,--up all upward Scope to filesystem root,"As a user, I want `--up all` so that every ancestor directory up to `/` is in Scope.","`Distance::All` makes `within()` always return true for Up mode (src/scope.rs), so `contains` matches any ancestor of base regardless of distance, per the table-driven test `up all root` (src/scope.rs).","Run `resume --up all` deep inside a directory tree and confirm sessions recorded anywhere from cwd up through `/` appear, but no descendant/sibling sessions do.",§4 Explicit direction,src/scope.rs:89 (contains); src/scope.rs:242 (within),Pass,,,Pass
cli-down-flag,cli,-D/--down <N|all> explicit downward Scope,"As a user, I want `--down N` so that Scope includes my current directory and descendants up to N path-component edges deep.",`Cli.down: Option<Distance>` mirrors `--up`; Scope mode `ScopeMode::Down` uses `candidate.real_path.strip_prefix(&self.base)` and checks the suffix's component count is within distance (src/scope.rs); depth-2 example verified by `down two` test (src/scope.rs).,"From a directory with subdirectories 2+ levels deep containing sessions, run `resume --down 2 --list` and confirm only sessions at depth <=2 are listed.",§4 Explicit direction,src/scope.rs:482 (candidate); src/scope.rs:196 (base),Pass,,,Pass
cli-down-all,cli,--down all downward Scope to every descendant,"As a user, I want `--down all` so that every descendant directory of my current directory is in Scope, including at `/` which is intentionally broad.","`Distance::All` in Down mode always satisfies `within()` (src/scope.rs); README explicitly documents that `--down all` at `/` is broad but still directory-derived, not machine-wide (README.md Explicit direction section).",Run `resume --down all` from a shallow directory containing many nested session workspaces and confirm all of them appear regardless of depth.,§4 Explicit direction,src/scope.rs:242 (within),Pass,,,Pass
cli-up-down-conflict,cli,--up and --down are mutually exclusive,"As a user, I want the CLI to reject combining `--up` and `--down` so that I get a clear usage error instead of ambiguous behavior.","`Cli::direction_conflict()` checks `up.is_some() && down.is_some()` directly (src/cli.rs); `main()` checks it before `Cli::validate()` or any other dispatch and emits `errors::E1002.report(...).emit()`, printing the documented four-line `ERROR [E1002] CONFLICTING_DIRECTION: ...` / Trigger: / Fix: / Example: block and exiting with code 2 (src/main.rs). No declarative clap `conflicts_with` is used for this pair, so the error text always comes from resume's own catalog, matching `--man`'s ERRORS section exactly.",Run `resume --up 1 --down 2` and confirm clap prints a usage error and exits with code 2.,§6 Exit status,src/cli.rs:373 (direction_conflict); src/cli.rs:525 (direction_conflict_is_no_longer_a_parse_error); tests/step9_app.rs:421 (direction_conflict_prints_the_e1002_four_line_block),Pass,,,Pass
cli-invalid-distance,cli,Invalid --up/--down value is a usage error,"As a user, I want a non-numeric, non-'all' value (or a negative number) for `--up`/`--down` to be rejected clearly so that I know I made a typo.","`Distance::from_str` returns `Err(""expected a non-negative integer or 'all'"")` for anything but `all` (case-insensitive) or a parseable non-negative integer (src/cli.rs (returns errors::E1003.parser_message() at cli.rs)); clap surfaces this as exit code 2, tested by `invalid_distance_is_usage_error` (src/cli.rs (test renamed/merged: invalid_distance_and_since_are_usage_errors)).",Run `resume --up -1` and confirm exit code 2 with a usage error mentioning a non-negative integer or 'all'.,§6 Exit status,src/cli.rs:14 (from_str); src/cli.rs:39 (from_str),Pass,,,Pass
cli-agent-flag-repeat-replaces,cli,"-a/--agent is repeatable and replaces, not extends, the agent list","As a user, I want repeated `-a pi -a codex` flags to set the exact agent list used for discovery so that I can narrow which integrations run.","`Cli.agent: Vec<OsString>` uses `action = clap::ArgAction::Append` (src/cli.rs (ArgAction::Append)); `effective_options` only falls back to config/defaults when `cli.agent.is_empty()`, otherwise uses exactly the CLI-supplied list (src/app.rs), tested by `repeated_agent_preserves_replacement_list` (src/cli.rs).",Run `resume -a pi -a codex --list` and confirm only pi and codex sessions appear even if config.toml lists all four agents.,§7 Query options,src/app.rs:167 (effective_options); src/cli.rs:621 (repeated_agent_preserves_replacement_list),Pass,,,Pass
cli-agent-unknown-rejected,cli,Unknown agent name in -a/--agent is a usage error,"As a user, I want `resume -a bogus` to fail clearly so that I know 'bogus' is not a supported agent name.","`effective_options` checks every requested agent against `cli::SUPPORTED_AGENTS` and returns `Err(format!(""unknown agent {agent:?}""))` on the first name that is not in it, so `run` prints `resume: unknown agent ""bogus""` and returns EXIT_USAGE (2). The check reads the one shared constant rather than an inline list, so adding an integration cannot leave the validator behind.","Run `resume --list --agent bogus` and confirm exit code 2 and stderr containing `unknown agent ""bogus""`.",§7 Query options,src/app.rs:167 (effective_options); src/app.rs:1722 (unknown_agent_is_usage_error); tests/step9_app.rs:373 (no_sessions_is_success_and_invalid_agent_is_usage_error),Pass,,,Pass
